Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
432,Austin Riley,26,ATL,NL,65,284,252,39,68,13,0,11,33,1,0,24,72,.270,.335,.452,.787,110,114,11,3,0,5,1,*5,rileyau01
433,Edwin Rios*,29,CHC,NL,18,34,28,3,2,1,0,1,2,0,0,5,16,.071,.235,.214,.450,25,6,0,1,0,0,0,D/H5,riosed01
434,Alfonso Rivas*,26,SDP,NL,4,8,7,1,2,1,0,0,1,0,0,1,2,.286,.375,.429,.804,127,3,0,0,0,0,0,/3H,rivasal01
435,Emmanuel Rivera,27,ARI,NL,32,110,104,21,37,9,0,1,15,1,0,6,14,.356,.391,.471,.862,138,49,4,0,0,0,0,5/DH3,riverem01
436,Anthony Rizzo*,33,NYY,AL,61,262,234,32,63,8,0,11,32,0,3,21,60,.269,.344,.444,.788,118,104,6,6,0,1,0,*3/D,rizzoan01
437,Luis Robert Jr.,25,CHW,AL,64,266,242,42,64,18,0,15,34,3,1,13,77,.264,.318,.525,.843,128,127,3,6,0,0,3,*8/H,roberlu01
438,Victor Robles,26,WSN,NL,31,107,89,13,26,4,1,0,8,8,1,10,14,.292,.388,.360,.748,113,32,3,4,4,0,0,8,roblevi01
439,Brayan Rocchio#,22,CLE,AL,4,14,14,0,3,0,0,0,1,0,0,0,1,.214,.214,.214,.429,22,3,2,0,0,0,0,/56H,rocchbr01
440,Julio Rodríguez,22,SEA,AL,62,279,257,39,63,12,1,12,36,12,4,18,78,.245,.305,.440,.744,110,113,8,4,0,0,0,*8/D,rodriju01
441,Jake Rogers,28,DET,AL,40,124,108,12,18,4,0,8,18,0,1,14,46,.167,.266,.426,.692,90,46,1,1,0,1,0,2/HD,rogerja03
